minT: 1  maxT: 10
1229 0.199 0.126 0.268
1230 0.193 0.132 0.263
1231 0.205 0.128 0.271
1232 0.216 0.13 0.279
1233 0.203 0.144 0.285
1234 0.216 0.143 0.293
1235 0.216 0.132 0.285
1236 0.187 0.147 0.291
1237 0.218 0.148 0.286
1238 0.197 0.136 0.298
1239 0.221 0.15 0.286
1240 0.208 0.141 0.269
1241 0.22 0.158 0.28
1242 0.21 0.135 0.272
1243 0.189 0.135 0.289
1244 0.196 0.142 0.281
1245 0.194 0.13 0.278
1246 0.214 0.181 0.303
1247 0.199 0.135 0.301
1248 0.202 0.14 0.288
1249 0.208 0.139 0.289
1250 0.17 0.125 0.279
1251 0.178 0.155 0.289
1252 0.164 0.142 0.284
1253 0.19 0.151 0.273
1254 0.22 0.165 0.291
1255 0.182 0.128 0.293
1256 0.191 0.153 0.299
1257 0.166 0.125 0.281
1258 0.171 0.157 0.301
1259 0.163 0.146 0.303
1260 0.174 0.156 0.305
1261 0.177 0.143 0.326
1262 0.179 0.151 0.299
1263 0.161 0.16 0.318
1264 0.136 0.139 0.276
1265 0.159 0.16 0.282
1266 0.153 0.154 0.318
1267 0.151 0.15 0.296
1268 0.149 0.179 0.321
1269 0.163 0.18 0.336
1270 0.138 0.157 0.326
1271 0.132 0.155 0.318
1272 0.122 0.146 0.314
1273 0.131 0.14 0.303
1274 0.117 0.153 0.305
1275 0.133 0.163 0.334
1276 0.109 0.158 0.293
1277 0.124 0.165 0.321
1278 0.129 0.169 0.295
1279 0.091 0.164 0.315
1280 0.127 0.168 0.356
1281 0.105 0.175 0.336
1282 0.094 0.155 0.31
1283 0.086 0.146 0.305
1284 0.099 0.181 0.321
1285 0.092 0.178 0.326
1286 0.066 0.152 0.316
1287 0.098 0.175 0.35
1288 0.079 0.167 0.311
1289 0.07 0.179 0.325
1290 0.085 0.17 0.342
1291 0.076 0.15 0.313
1292 0.055 0.153 0.31
1293 0.053 0.182 0.333
1294 0.072 0.189 0.344
1295 0.069 0.17 0.314
1296 0.069 0.155 0.306
1297 0.055 0.17 0.325
1298 0.041 0.172 0.308
1299 0.058 0.176 0.338
1300 0.043 0.171 0.328
Resource Access 
Parallel 
RSF 




minT: 10  maxT: 20
Work Load
CS Length 
11 1.0 1.0 0.936
12 1.0 1.0 0.922
13 1.0 1.0 0.85
14 1.0 1.0 0.822
15 1.0 1.0 0.772
16 1.0 1.0 0.704
17 1.0 1.0 0.61
18 1.0 1.0 0.551
19 1.0 1.0 0.529
110 1.0 1.0 0.428
111 1.0 1.0 0.377
112 0.999 0.998 0.363
113 0.999 0.996 0.314
114 0.994 0.984 0.292
115 0.989 0.969 0.226
116 0.972 0.926 0.184
117 0.961 0.9 0.172
118 0.922 0.843 0.13
119 0.873 0.788 0.139
120 0.85 0.744 0.11
121 0.8 0.674 0.118
122 0.716 0.608 0.091
123 0.669 0.539 0.058
124 0.607 0.48 0.069
125 0.555 0.422 0.064
126 0.518 0.375 0.056
127 0.458 0.343 0.057
128 0.419 0.283 0.04
129 0.359 0.249 0.046
130 0.325 0.199 0.028
131 0.305 0.204 0.036
132 0.247 0.156 0.026
133 0.209 0.139 0.027
134 0.192 0.119 0.019
135 0.171 0.091 0.018
136 0.136 0.077 0.017
137 0.152 0.085 0.024
138 0.122 0.072 0.019
139 0.126 0.072 0.014
140 0.107 0.063 0.014
141 0.083 0.062 0.017
142 0.082 0.05 0.012
143 0.068 0.043 0.013
144 0.083 0.045 0.014
145 0.066 0.031 0.009
146 0.067 0.04 0.005
147 0.062 0.033 0.003
148 0.057 0.031 0.012
149 0.052 0.026 0.007
150 0.031 0.017 0.008
151 0.033 0.024 0.011
152 0.042 0.019 0.009
153 0.043 0.02 0.009
154 0.04 0.02 0.008
155 0.042 0.025 0.009
156 0.03 0.017 0.004
157 0.022 0.013 0.006
158 0.024 0.012 0.005
159 0.033 0.018 0.005
160 0.025 0.008 0.004
161 0.025 0.016 0.005
162 0.014 0.005 0.002
163 0.026 0.01 0.005
164 0.012 0.006 0.005
165 0.022 0.014 0.003
166 0.014 0.006 0.003
167 0.011 0.003 0.001
168 0.012 0.003 0.001
169 0.009 0.004 0.003
170 0.009 0.005 0.004
171 0.014 0.006 0.003
172 0.011 0.005 0.004
173 0.01 0.005 0.003
174 0.01 0.004 0.002
175 0.014 0.005 0.001
176 0.01 0.003 0.003
177 0.01 0.003 0.003
178 0.014 0.004 0.002
179 0.01 0.002 0.001
180 0.017 0.01 0.006
181 0.01 0.003 0.004
182 0.008 0.004 0.005
183 0.009 0.005 0.003
184 0.011 0.007 0.004
185 0.005 0.001 0.001
186 0.01 0.001 0.001
187 0.008 0.002 0.001
188 0.009 0.007 0.005
189 0.006 0.002 0.0
190 0.007 0.002 0.001
191 0.008 0.003 0.003
192 0.009 0.002 0.002
193 0.009 0.003 0.003
194 0.005 0.0 0.001
195 0.007 0.003 0.001
196 0.005 0.002 0.002
197 0.007 0.004 0.002
198 0.005 0.002 0.001
199 0.005 0.002 0.002
1100 0.006 0.002 0.001
1101 0.01 0.002 0.001
1102 0.007 0.006 0.006
1103 0.01 0.002 0.003
1104 0.009 0.004 0.001
1105 0.003 0.001 0.001
1106 0.012 0.002 0.003
1107 0.009 0.005 0.003
1108 0.007 0.001 0.001
1109 0.005 0.001 0.002
1110 0.006 0.002 0.001
1111 0.006 0.001 0.001
1112 0.011 0.005 0.005
1113 0.009 0.004 0.005
1114 0.007 0.003 0.002
1115 0.009 0.001 0.001
1116 0.002 0.0 0.0
1117 0.008 0.0 0.003
1118 0.007 0.003 0.003
1119 0.009 0.006 0.005
1120 0.009 0.001 0.002
1121 0.006 0.002 0.002
1122 0.007 0.002 0.002
1123 0.009 0.002 0.003
1124 0.006 0.001 0.002
1125 0.01 0.003 0.004
1126 0.009 0.003 0.004
1127 0.007 0.003 0.003
1128 0.009 0.003 0.003
1129 0.005 0.001 0.002
1130 0.006 0.002 0.004
1131 0.003 0.001 0.002
1132 0.009 0.002 0.003
1133 0.01 0.005 0.005
1134 0.012 0.003 0.004
1135 0.002 0.0 0.0
1136 0.015 0.003 0.005
1137 0.004 0.003 0.004
1138 0.006 0.001 0.002
1139 0.007 0.003 0.005
1140 0.006 0.002 0.003
1141 0.006 0.001 0.001
1142 0.005 0.0 0.001
1143 0.007 0.002 0.003
1144 0.008 0.003 0.004
1145 0.005 0.002 0.002
1146 0.007 0.002 0.003
1147 0.006 0.001 0.003
1148 0.015 0.004 0.005
1149 0.02 0.006 0.011
1150 0.012 0.006 0.007
1151 0.004 0.001 0.001
1152 0.002 0.001 0.001
1153 0.005 0.002 0.003
1154 0.011 0.002 0.002
1155 0.011 0.005 0.006
1156 0.004 0.002 0.002
1157 0.011 0.004 0.007
1158 0.013 0.003 0.007
1159 0.006 0.003 0.003
1160 0.006 0.001 0.003
1161 0.009 0.001 0.005
1162 0.007 0.003 0.005
1163 0.012 0.002 0.007
1164 0.007 0.001 0.002
1165 0.016 0.007 0.01
1166 0.012 0.006 0.008
1167 0.015 0.002 0.006
1168 0.011 0.004 0.007
1169 0.011 0.004 0.006
1170 0.009 0.004 0.006
1171 0.016 0.011 0.012
1172 0.014 0.004 0.006
1173 0.01 0.006 0.008
1174 0.012 0.003 0.003
1175 0.016 0.002 0.005
1176 0.01 0.003 0.003
1177 0.015 0.002 0.007
1178 0.009 0.001 0.004
1179 0.022 0.008 0.009
1180 0.018 0.005 0.01
1181 0.013 0.005 0.005
1182 0.014 0.005 0.007
1183 0.013 0.007 0.008
1184 0.013 0.003 0.005
1185 0.009 0.004 0.005
1186 0.017 0.007 0.01
1187 0.022 0.005 0.009
1188 0.015 0.006 0.011
1189 0.016 0.003 0.01
1190 0.012 0.004 0.007
1191 0.013 0.003 0.006
1192 0.016 0.005 0.009
1193 0.013 0.004 0.008
1194 0.02 0.004 0.009
1195 0.013 0.006 0.008
1196 0.018 0.006 0.012
1197 0.012 0.005 0.005
1198 0.025 0.008 0.012
1199 0.02 0.007 0.009
1200 0.026 0.008 0.014
1201 0.025 0.01 0.013
1202 0.023 0.006 0.013
1203 0.013 0.004 0.005
1204 0.021 0.004 0.01
1205 0.026 0.003 0.015
1206 0.024 0.005 0.01
1207 0.026 0.007 0.012
1208 0.024 0.007 0.013
1209 0.024 0.006 0.007
1210 0.018 0.007 0.009
1211 0.02 0.006 0.009
1212 0.02 0.005 0.013
1213 0.026 0.009 0.015
1214 0.022 0.008 0.012
1215 0.024 0.009 0.015
1216 0.024 0.004 0.013
1217 0.022 0.007 0.011
1218 0.024 0.008 0.015
1219 0.025 0.008 0.016
1220 0.022 0.011 0.017
1221 0.031 0.009 0.023
1222 0.03 0.01 0.018
1223 0.021 0.007 0.01
1224 0.031 0.016 0.024
1225 0.026 0.01 0.014
1226 0.026 0.007 0.013
1227 0.039 0.012 0.019
1228 0.031 0.01 0.02
1229 0.031 0.011 0.019
1230 0.032 0.01 0.016
1231 0.025 0.006 0.013
1232 0.029 0.009 0.018
1233 0.03 0.012 0.021
1234 0.026 0.003 0.012
1235 0.043 0.019 0.026
1236 0.03 0.01 0.018
1237 0.036 0.01 0.025
1238 0.037 0.019 0.024
1239 0.028 0.013 0.02
1240 0.034 0.011 0.026
1241 0.034 0.014 0.023
1242 0.029 0.009 0.013
1243 0.03 0.009 0.015
1244 0.025 0.007 0.012
1245 0.035 0.005 0.017
1246 0.034 0.011 0.022
1247 0.042 0.012 0.028
1248 0.035 0.014 0.021
1249 0.035 0.007 0.018
1250 0.03 0.005 0.015
1251 0.046 0.009 0.022
1252 0.047 0.016 0.027
1253 0.041 0.013 0.026
1254 0.036 0.012 0.017
1255 0.041 0.013 0.023
1256 0.027 0.007 0.016
1257 0.041 0.016 0.03
1258 0.035 0.01 0.022
1259 0.046 0.013 0.028
1260 0.048 0.015 0.028
1261 0.041 0.014 0.026
1262 0.045 0.016 0.027
1263 0.048 0.02 0.032
1264 0.038 0.008 0.018
1265 0.048 0.012 0.025
1266 0.051 0.016 0.032
1267 0.052 0.019 0.027
1268 0.055 0.021 0.035
1269 0.046 0.017 0.025
1270 0.055 0.02 0.031
1271 0.039 0.015 0.025
1272 0.053 0.024 0.033
1273 0.043 0.012 0.024
1274 0.056 0.013 0.032
1275 0.039 0.014 0.025
1276 0.058 0.014 0.029
1277 0.056 0.024 0.038
1278 0.05 0.019 0.037
1279 0.039 0.017 0.023
1280 0.048 0.017 0.027
1281 0.047 0.019 0.029
1282 0.064 0.015 0.038
1283 0.052 0.015 0.027
1284 0.043 0.013 0.028
1285 0.055 0.013 0.036
1286 0.047 0.013 0.026
1287 0.062 0.013 0.037
1288 0.064 0.016 0.036
1289 0.061 0.012 0.032
1290 0.067 0.022 0.038
1291 0.052 0.015 0.034
1292 0.069 0.024 0.044
1293 0.038 0.007 0.019
1294 0.053 0.011 0.026
1295 0.04 0.014 0.024
1296 0.059 0.019 0.035
1297 0.062 0.026 0.037
1298 0.066 0.021 0.038
1299 0.069 0.024 0.045
1300 0.066 0.026 0.047
Resource Access 
Parallel 
RSF 




minT: 20  maxT: 30
Work Load
CS Length 
11 1.0 1.0 1.0
12 1.0 1.0 1.0
13 1.0 1.0 1.0
14 1.0 1.0 1.0
15 1.0 1.0 1.0
16 1.0 1.0 1.0
17 1.0 1.0 0.998
18 1.0 1.0 0.999
19 1.0 1.0 0.996
110 1.0 1.0 0.99
111 1.0 1.0 0.984
112 1.0 1.0 0.98
113 1.0 1.0 0.964
114 1.0 1.0 0.944
115 1.0 1.0 0.926
116 1.0 1.0 0.906
117 1.0 1.0 0.885
118 1.0 1.0 0.842
119 1.0 1.0 0.79
120 1.0 1.0 0.786
121 1.0 0.999 0.723
122 1.0 0.998 0.685
123 1.0 0.998 0.635
124 1.0 0.995 0.598
125 0.999 0.993 0.562
126 0.993 0.984 0.531
127 0.993 0.972 0.466
128 0.981 0.938 0.463
129 0.968 0.925 0.424
130 0.952 0.886 0.375
131 0.928 0.856 0.337
132 0.91 0.833 0.289
133 0.897 0.814 0.298
134 0.882 0.764 0.269
135 0.808 0.702 0.222
136 0.773 0.643 0.216
137 0.736 0.608 0.211
138 0.702 0.566 0.195
139 0.662 0.533 0.202
140 0.634 0.483 0.169
141 0.576 0.428 0.118
142 0.518 0.377 0.125
143 0.526 0.383 0.136
144 0.483 0.344 0.105
145 0.428 0.309 0.101
146 0.425 0.285 0.093
147 0.41 0.302 0.106
148 0.361 0.25 0.084
149 0.33 0.224 0.089
150 0.291 0.186 0.069
151 0.273 0.188 0.065
152 0.272 0.175 0.061
153 0.265 0.165 0.051
154 0.232 0.161 0.067
155 0.218 0.135 0.057
156 0.166 0.102 0.035
157 0.191 0.125 0.048
158 0.183 0.115 0.052
159 0.134 0.076 0.041
160 0.147 0.084 0.039
161 0.103 0.06 0.026
162 0.132 0.079 0.035
163 0.111 0.067 0.031
164 0.108 0.058 0.026
165 0.095 0.043 0.017
166 0.076 0.042 0.02
167 0.087 0.051 0.024
168 0.077 0.045 0.026
169 0.077 0.037 0.019
170 0.075 0.04 0.015
171 0.075 0.041 0.031
172 0.067 0.032 0.013
173 0.047 0.025 0.01
174 0.055 0.027 0.017
175 0.042 0.027 0.019
176 0.046 0.026 0.015
177 0.047 0.034 0.022
178 0.058 0.031 0.019
179 0.034 0.022 0.011
180 0.036 0.023 0.014
181 0.03 0.013 0.007
182 0.034 0.018 0.011
183 0.039 0.018 0.012
184 0.029 0.017 0.011
185 0.041 0.022 0.014
186 0.031 0.014 0.011
187 0.031 0.017 0.014
188 0.028 0.015 0.013
189 0.026 0.016 0.011
190 0.028 0.01 0.008
191 0.022 0.011 0.008
192 0.023 0.011 0.007
193 0.024 0.011 0.008
194 0.026 0.015 0.009
195 0.012 0.006 0.005
196 0.02 0.011 0.008
197 0.013 0.008 0.006
198 0.012 0.006 0.007
199 0.015 0.007 0.005
1100 0.01 0.005 0.003
1101 0.019 0.013 0.009
1102 0.016 0.006 0.004
1103 0.008 0.003 0.002
1104 0.007 0.003 0.002
1105 0.011 0.003 0.003
1106 0.014 0.006 0.004
1107 0.019 0.006 0.003
1108 0.011 0.008 0.01
1109 0.013 0.009 0.006
1110 0.011 0.007 0.007
1111 0.009 0.005 0.004
1112 0.006 0.003 0.003
1113 0.013 0.007 0.005
1114 0.013 0.004 0.003
1115 0.004 0.0 0.001
1116 0.009 0.005 0.004
1117 0.007 0.002 0.003
1118 0.007 0.003 0.003
1119 0.009 0.004 0.003
1120 0.005 0.003 0.002
1121 0.006 0.001 0.0
1122 0.005 0.004 0.002
1123 0.009 0.004 0.005
1124 0.008 0.004 0.003
1125 0.01 0.005 0.004
1126 0.004 0.002 0.002
1127 0.006 0.004 0.002
1128 0.006 0.001 0.002
1129 0.01 0.002 0.002
1130 0.008 0.004 0.004
1131 0.007 0.002 0.003
1132 0.004 0.001 0.002
1133 0.01 0.004 0.004
1134 0.006 0.003 0.001
1135 0.008 0.003 0.003
1136 0.009 0.004 0.002
1137 0.009 0.004 0.004
1138 0.008 0.003 0.002
1139 0.006 0.003 0.004
1140 0.006 0.002 0.001
1141 0.006 0.002 0.002
1142 0.006 0.003 0.004
1143 0.006 0.002 0.003
1144 0.006 0.004 0.005
1145 0.006 0.0 0.001
1146 0.005 0.004 0.003
1147 0.004 0.002 0.002
1148 0.004 0.003 0.003
1149 0.004 0.003 0.004
1150 0.007 0.002 0.003
1151 0.007 0.002 0.003
1152 0.003 0.001 0.002
1153 0.002 0.001 0.001
1154 0.007 0.001 0.003
1155 0.009 0.005 0.005
1156 0.005 0.0 0.0
1157 0.004 0.002 0.003
1158 0.004 0.002 0.002
1159 0.001 0.0 0.0
1160 0.005 0.002 0.004
1161 0.003 0.001 0.001
1162 0.003 0.0 0.0
1163 0.005 0.002 0.001
1164 0.004 0.002 0.001
1165 0.002 0.002 0.002
1166 0.007 0.002 0.002
1167 0.005 0.004 0.005
1168 0.005 0.0 0.002
1169 0.005 0.002 0.001
1170 0.01 0.004 0.004
1171 0.005 0.002 0.003
1172 0.008 0.002 0.004
1173 0.005 0.002 0.002
1174 0.008 0.002 0.002
1175 0.009 0.004 0.004
1176 0.004 0.001 0.001
1177 0.003 0.0 0.001
1178 0.004 0.002 0.003
1179 0.002 0.0 0.0
1180 0.005 0.002 0.002
1181 0.004 0.002 0.002
1182 0.002 0.0 0.0
1183 0.003 0.001 0.001
1184 0.005 0.002 0.004
1185 0.007 0.003 0.004
1186 0.006 0.002 0.006
1187 0.002 0.002 0.001
1188 0.006 0.001 0.002
1189 0.001 0.0 0.001
1190 0.0 0.0 0.0
1191 0.005 0.001 0.002
1192 0.005 0.001 0.001
1193 0.001 0.001 0.001
1194 0.003 0.002 0.003
1195 0.003 0.0 0.001
1196 0.005 0.002 0.002
1197 0.006 0.003 0.004
1198 0.001 0.001 0.001
1199 0.005 0.001 0.003
1200 0.0 0.0 0.0
1201 0.002 0.001 0.001
1202 0.004 0.001 0.002
1203 0.006 0.002 0.003
1204 0.001 0.0 0.001
1205 0.006 0.005 0.005
1206 0.005 0.001 0.004
1207 0.002 0.001 0.002
1208 0.006 0.003 0.003
1209 0.003 0.001 0.002
1210 0.005 0.004 0.003
1211 0.007 0.002 0.002
1212 0.005 0.002 0.003
1213 0.005 0.001 0.001
1214 0.008 0.005 0.008
1215 0.003 0.001 0.001
1216 0.001 0.001 0.0
1217 0.005 0.003 0.003
1218 0.006 0.004 0.005
1219 0.002 0.001 0.001
1220 0.003 0.002 0.003
1221 0.002 0.0 0.0
1222 0.001 0.0 0.0
1223 0.002 0.0 0.001
1224 0.0 0.0 0.0
1225 0.006 0.003 0.005
1226 0.003 0.002 0.002
1227 0.002 0.001 0.002
1228 0.002 0.001 0.002
1229 0.006 0.003 0.005
1230 0.004 0.003 0.003
1231 0.004 0.002 0.003
1232 0.005 0.003 0.004
1233 0.008 0.005 0.007
1234 0.002 0.0 0.0
1235 0.003 0.001 0.002
1236 0.003 0.001 0.001
1237 0.008 0.002 0.004
1238 0.007 0.002 0.005
1239 0.002 0.0 0.0
1240 0.004 0.0 0.002
1241 0.007 0.005 0.005
1242 0.008 0.002 0.003
1243 0.004 0.001 0.002
1244 0.005 0.003 0.004
1245 0.006 0.002 0.002
1246 0.004 0.001 0.001
1247 0.007 0.004 0.004
1248 0.002 0.002 0.002
1249 0.006 0.001 0.003
1250 0.006 0.003 0.004
1251 0.006 0.003 0.004
1252 0.006 0.003 0.005
1253 0.005 0.0 0.0
1254 0.008 0.002 0.004
1255 0.006 0.002 0.005
1256 0.01 0.004 0.007
1257 0.005 0.001 0.002
1258 0.005 0.002 0.003
1259 0.006 0.003 0.003
1260 0.005 0.002 0.004
1261 0.007 0.003 0.006
1262 0.007 0.002 0.004
1263 0.003 0.003 0.003
1264 0.004 0.001 0.003
1265 0.007 0.001 0.005
1266 0.002 0.001 0.002
1267 0.007 0.002 0.004
1268 0.003 0.001 0.002
1269 0.006 0.0 0.001
1270 0.003 0.0 0.002
1271 0.005 0.001 0.001
1272 0.005 0.0 0.001
1273 0.006 0.0 0.002
1274 0.006 0.002 0.004
1275 0.003 0.001 0.002
1276 0.006 0.0 0.002
1277 0.008 0.002 0.004
1278 0.006 0.001 0.005
1279 0.008 0.004 0.006
1280 0.003 0.0 0.0
1281 0.006 0.003 0.003
1282 0.007 0.001 0.004
1283 0.01 0.002 0.005
1284 0.003 0.001 0.001
1285 0.003 0.001 0.002
1286 0.011 0.003 0.005
1287 0.004 0.003 0.004
1288 0.005 0.002 0.003
1289 0.008 0.002 0.006
1290 0.01 0.002 0.003
1291 0.003 0.001 0.002
1292 0.011 0.003 0.005
1293 0.005 0.0 0.002
1294 0.004 0.0 0.0
1295 0.003 0.002 0.002
1296 0.007 0.003 0.004
1297 0.005 0.001 0.004
1298 0.005 0.001 0.001
1299 0.007 0.005 0.006
1300 0.008 0.004 0.005
Resource Access 
Parallel 
RSF 




minT: 30  maxT: 40
Work Load
CS Length 
11 1.0 1.0 1.0
12 1.0 1.0 1.0
13 1.0 1.0 1.0
14 1.0 1.0 1.0
15 1.0 1.0 1.0
16 1.0 1.0 1.0
17 1.0 1.0 1.0
18 1.0 1.0 1.0
19 1.0 1.0 1.0
110 1.0 1.0 1.0
111 1.0 1.0 1.0
112 1.0 1.0 1.0
113 1.0 1.0 1.0
114 1.0 1.0 1.0
115 1.0 1.0 1.0
116 1.0 1.0 1.0
117 1.0 1.0 1.0
118 1.0 1.0 1.0
119 1.0 1.0 1.0
120 1.0 1.0 0.998
121 1.0 1.0 0.995
122 1.0 1.0 0.998
123 1.0 1.0 0.993
124 1.0 1.0 0.982
125 1.0 1.0 0.979
126 1.0 1.0 0.97
127 1.0 1.0 0.961
128 1.0 1.0 0.952
129 1.0 1.0 0.946
130 1.0 1.0 0.92
131 0.999 0.999 0.898
132 1.0 1.0 0.889
133 1.0 0.999 0.841
134 1.0 0.998 0.811
135 1.0 0.998 0.809
136 0.997 0.987 0.766
137 0.998 0.991 0.738
138 0.993 0.984 0.71
139 0.988 0.973 0.684
140 0.992 0.972 0.632
141 0.978 0.954 0.57
142 0.968 0.937 0.594
143 0.963 0.925 0.563
144 0.949 0.898 0.511
